,code,name,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier,late aircraft,national aviation system,security,total,weather,month
51713,IAH,"Houston, TX: George Bush Intercontinental/Houston",366,341,525,2,43,60,1278,59,3720,5117,20742,29948,24624,63,79806,4429,5
51714,ORD,"Chicago, IL: Chicago O'Hare International",366,406,327,0,36,48,1136,5,4618,5807,18967,33250,14542,0,70051,3292,5
51715,EWR,"Newark, NJ: Newark Liberty International",217,262,195,0,32,33,706,17,3238,3994,13561,19924,13961,0,50411,2965,5
51716,SAN,"San Diego, CA: San Diego International",62,52,38,0,13,4,165,3,582,754,3225,4297,1217,0,9646,907,5
51717,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",35,34,39,0,9,3,117,10,217,347,1658,3154,2214,0,8312,1286,5
51718,SFO,"San Francisco, CA: San Francisco International",272,311,466,0,36,38,1084,4,3175,4301,15926,25077,23917,0,68592,3672,5
51719,SEA,"Seattle, WA: Seattle/Tacoma International",74,71,32,0,13,3,191,1,680,875,3168,5212,1234,0,10772,1158,5
51720,PHL,"Philadelphia, PA: Philadelphia International",30,36,28,0,4,4,97,2,250,353,1367,2491,1443,0,5664,363,5
51721,MCO,"Orlando, FL: Orlando International",89,68,57,1,9,6,224,3,823,1056,4939,5171,2391,52,13441,888,5
51722,IAD,"Washington, DC: Washington Dulles International",113,122,66,0,15,7,317,2,1513,1839,6013,10187,2702,0,19753,851,5
